id,name,city,country,place,zip,latitude,longitude,fan_count,checkins,about,picture,category_list,email,is_verified,price_range,phone,create_date,update_date
26218058953,Name -1,City - 1,UK,Place - XYZ,80331,48.1375,11.5643,44967,31262,This is a great place,,Dance & Night Club,abx@xyz.com,0,$$,(089) 23 23 29 73,10/06/17 22:45,10/06/17 22:45
52112364327,Name -2,City - 2,Germany,Place - XYZ,80333,48.1422,11.5703,70608,81347,This is a great place,,Dance & Night Club,abx@xyz.com,0,$$,(089) 23 23 29 74,10/06/17 22:45,10/06/17 22:45
75692371828,Name -3,City - 3,India,Place - XYZ,80337,48.1249,11.5487,2359,154,This is a great place,,Dance & Night Club,abx@xyz.com,0,,(089) 23 23 29 75,10/06/17 22:45,10/06/17 22:45
76518167870,Name -4,City - 4,USA,Place - XYZ,81671,48.1234,11.6084,3912,1851,This is a great place,,Dance & Night Club,abx@xyz.com,0,$$,(089) 23 23 29 76,10/06/17 22:45,10/06/17 22:45
85061668381,Name -5,City - 5,Country - 1,Place - XYZ,80469,48.1307,11.5697,2770,7146,This is a great place,,,abx@xyz.com,0,$$$,(089) 23 23 29 77,10/06/17 22:45,10/06/17 22:45
96185942854,Name -6,City - 6,Country - 2,Place - XYZ,80331,48.1355,11.5648,9029,9238,This is a great place,,,abx@xyz.com,0,$$$,(089) 23 23 29 78,10/06/17 22:45,10/06/17 22:45
1.04432E+11,Name -7,City - 7,Country - 3,Place - XYZ,80333,48.1422,11.5703,47165,16465,This is a great place,,"Live Music Venue, Dance & Night Club",abx@xyz.com,0,$,(089) 23 23 29 79,10/06/17 22:45,10/06/17 22:45
1.16213E+11,Name -8,City - 8,Country - 4,Place - XYZ,80538,48.1444,11.585,104703,119037,This is a great place,,,abx@xyz.com,1,$$$,(089) 23 23 29 80,10/06/17 22:45,10/06/17 22:45
1.42012E+11,Name -9,City - 9,Country - 5,Place - XYZ,80331,48.1376,11.5782,26384,22494,This is a great place,,,abx@xyz.com,0,$$$,(089) 23 23 29 81,10/06/17 22:45,10/06/17 22:45
1.62601E+11,Name -10,City - 10,Country - 6,Place - XYZ,81241,48.1249,11.5487,6655,1,This is a great place,,,abx@xyz.com,0,,(089) 23 23 29 82,10/06/17 22:45,10/06/17 22:45
1.75245E+11,Name -11,City - 11,Country - 7,Place - XYZ,80333,48.1422,11.5703,15176,32488,This is a great place,,,abx@xyz.com,0,$,(089) 23 23 29 83,10/06/17 22:45,10/06/17 22:45
2.02851E+11,Name -12,City - 12,Country - 8,Place - XYZ,81671,48.1235,11.6074,6228,13736,This is a great place,,,abx@xyz.com,0,$,(089) 23 23 29 84,10/06/17 22:45,10/06/17 22:45
2.24896E+11,Name -13,City - 13,Country - 9,Place - XYZ,80331,48.1364,11.5794,2034,7105,This is a great place,,,abx@xyz.com,0,$,(089) 23 23 29 85,10/06/17 22:45,10/06/17 22:45
2.58172E+11,Name -14,City - 14,Country - 10,Place - XYZ,81671,48.124,11.6069,6089,44590,This is a great place,,,abx@xyz.com,0,$,(089) 23 23 29 86,10/06/17 22:45,10/06/17 22:45
2.80971E+11,Name -15,City - 15,Country - 11,Place - XYZ,80809,48.1801,11.5528,3586,675,This is a great place,,,abx@xyz.com,0,$,(089) 23 23 29 87,10/06/17 22:45,10/06/17 22:45
2.84101E+11,Name -16,City - 16,Country - 12,Place - XYZ,80538,48.1362,11.5902,3419,7240,This is a great place,,,abx@xyz.com,0,$$,(089) 23 23 29 88,10/06/17 22:45,10/06/17 22:45
2.96553E+11,Name -17,City - 1,,Place - XYZ,81667,,,19488,0,This is a great place,,,abx@xyz.com,0,$$,(089) 23 23 29 89,10/06/17 22:45,10/06/17 22:45
1.10664E+14,Name -18,City - 2,Country - 1,Place - XYZ,80333,48.1413,11.5626,17536,15445,This is a great place,,,abx@xyz.com,0,$$,(089) 23 23 29 90,10/06/17 22:45,10/06/17 22:45
1.11638E+14,Name -19,City - 3,Country - 2,Place - XYZ,80333,48.142,11.57,26358,88338,This is a great place,,,abx@xyz.com,0,$$,(089) 23 23 29 91,10/06/17 22:45,10/06/17 22:45
1.12448E+14,Name -20,City - 4,Country - 3,Place - XYZ,80802,48.1579,11.5843,62,2,This is a great place,,,abx@xyz.com,0,,(089) 23 23 29 92,10/06/17 22:45,10/06/17 22:45
1.13936E+14,Name -21,City - 5,Country - 4,Place - XYZ,80331,48.1388,11.5667,13600,23565,This is a great place,,,abx@xyz.com,0,$$,(089) 23 23 29 93,10/06/17 22:45,10/06/17 22:45
1.15479E+14,Name -22,City - 6,Country - 5,Place - XYZ,81671,48.125,11.6041,19358,6886,This is a great place,,,abx@xyz.com,0,$$,(089) 23 23 29 94,10/06/17 22:45,10/06/17 22:45
1.15651E+14,Name -23,City - 7,Country - 6,Place - XYZ,80331,48.138,11.5809,14709,14982,This is a great place,,,abx@xyz.com,0,$,(089) 23 23 29 95,10/06/17 22:46,10/06/17 22:46
1.23441E+14,Name -24,City - 8,Country - 7,Place - XYZ,80333,48.1389,11.5776,6485,52420,This is a great place,,,abx@xyz.com,0,$$$,(089) 23 23 29 96,10/06/17 22:45,10/06/17 22:45
1.24051E+14,Name -25,City - 9,Country - 8,Place - XYZ,80538,48.1433,11.5854,1157,8159,This is a great place,,,abx@xyz.com,0,$$,(089) 23 23 29 97,10/06/17 22:45,10/06/17 22:45
1.27456E+14,Name -26,City - 10,Country - 9,Place - XYZ,81671,48.124,11.6051,6332,2004,This is a great place,,,abx@xyz.com,0,$,(089) 23 23 29 98,10/06/17 22:45,10/06/17 22:45
1.28258E+14,Name -27,City - 11,Country - 10,Place - XYZ,81671,48.121,11.6075,25662,63847,This is a great place,,,abx@xyz.com,0,$,(089) 23 23 29 99,10/06/17 22:45,10/06/17 22:45
1.33469E+14,Name -28,City - 12,Country - 11,Place - XYZ,81667,48.1327,11.5892,3026,15948,This is a great place,,,abx@xyz.com,0,$$,(089) 23 23 29 100,10/06/17 22:46,10/06/17 22:46
1.33489E+14,Name -29,City - 13,Country - 12,Place - XYZ,80636,48.1438,11.5367,1643,14995,This is a great place,,,abx@xyz.com,0,$$,(089) 23 23 29 101,10/06/17 22:45,10/06/17 22:45
1.36239E+14,Name -30,City - 14,Country - 13,Place - XYZ,9020,46.6259,14.3075,5111,12566,This is a great place,,,abx@xyz.com,0,$$$$,(089) 23 23 29 102,10/06/17 22:45,10/06/17 22:45
1.36619E+14,Name -31,City - 15,Country - 14,Place - XYZ,80539,48.14,11.579,15066,4548,This is a great place,,"Performance Art Theatre, Organization",abx@xyz.com,0,,(089) 23 23 29 103,10/06/17 22:45,10/06/17 22:45
1.37351E+14,Name -32,City - 16,Country - 15,Place - XYZ,81671,48.1227,11.6062,5433,5028,This is a great place,,"Performance & Event Venue, Lounge, Event Planner",abx@xyz.com,0,$$$,(089) 23 23 29 104,10/06/17 22:45,10/06/17 22:45
1.41878E+14,Name -33,City - 17,Country - 16,Place - XYZ,80335,48.1399,11.5629,11018,10669,This is a great place,,,abx@xyz.com,0,$$,(089) 23 23 29 105,10/06/17 22:45,10/06/17 22:45
1.41967E+14,Name -34,City - 1,Country - 17,Place - XYZ,81671 MÃ¼nchen,48.1245,11.6046,34559,25740,This is a great place,,,abx@xyz.com,0,$,(089) 23 23 29 106,10/06/17 22:46,10/06/17 22:46
1.42425E+14,Name -35,City - 2,Country - 18,Place - XYZ,80331,48.1377,11.5686,4364,25476,This is a great place,,,abx@xyz.com,0,,(089) 23 23 29 107,10/06/17 22:45,10/06/17 22:45
1.42846E+14,Name -36,City - 3,Country - 19,Place - XYZ,81671,48.1241,11.6077,19144,40654,This is a great place,,,abx@xyz.com,0,$,(089) 23 23 29 108,10/06/17 22:45,10/06/17 22:45
1.43162E+14,Name -37,City - 4,Country - 20,Place - XYZ,81671,48.1247,11.6067,2381,5851,This is a great place,,,abx@xyz.com,0,$,(089) 23 23 29 109,10/06/17 22:45,10/06/17 22:45
